latitude,longitude,ignition_date,area_ha,state,shape_area
-28.36763723,152.86865798821339,1899-11-30T00:00:00.000Z,90,NSW (New South Wales),8.3038853518e-05
-25.81202099,121.41871687651165,2019-01-02T00:00:00.000Z,5731,WA (Western Australia),0.005457165
-35.24081098,150.0389692378105,1899-11-30T00:00:00.000Z,176,NSW (New South Wales),0.000173977
-32.42961946,152.09963317231814,1979-12-16T00:00:00.000Z,1405,NSW (New South Wales),0.001347035
-35.49847726,150.1974770095064,1899-11-30T00:00:00.000Z,990,NSW (New South Wales),0.000983748
-37.10419802,144.47884558564235,1961-01-01T00:00:00.000Z,2956,VIC (Victoria),0.002996502
-35.85798538,144.95073698781894,1981-01-02T00:00:00.000Z,69,NSW (New South Wales),6.8574461693e-05
-33.18322325,151.61958825576966,1987-02-01T00:00:00.000Z,136,NSW (New South Wales),0.000131631
-35.34368326,149.12072237182906,1994-06-23T00:00:00.000Z,11,ACT (Australian Capital Territory),1.0420492799e-05
-33.3461507,118.24377367413764,2009-12-05T00:00:00.000Z,340,WA (Western Australia),0.000328866
-33.45635034,150.80573542979246,1899-11-30T00:00:00.000Z,302,NSW (New South Wales),0.000293154
-33.96398825,140.1484035173345,1985-06-30T00:00:00.000Z,79,SA (South Australia),7.6606038874e-05
-33.98167013,116.05069978552304,2016-01-12T00:00:00.000Z,31,WA (Western Australia),2.9770152651e-05
-33.45703516,116.2703263,2021-11-25T00:00:00.000Z,44,WA (Western Australia),4.2558799123e-05
-35.71146973,137.23224178428268,1964-02-27T00:00:00.000Z,29,SA (South Australia),2.8458861834e-05
-36.06486913,148.6199563,1899-11-30T00:00:00.000Z,459,NSW (New South Wales),0.00045894
-33.98319571,140.66882391574615,1973-10-05T00:00:00.000Z,80,SA (South Australia),7.7581561072e-05
-37.19430063,148.06690798961176,1983-01-01T00:00:00.000Z,294,VIC (Victoria),0.000298154
-32.75360379,152.1590967,1899-11-30T00:00:00.000Z,176,NSW (New South Wales),0.000169673
